year,mBadPercent,mUnknownPercent,mOtherPercent,total
1829,1.68249660786974,33.5549525101764,64.7625508819539,7370
1830,3.9161304637231,37.7080097625915,58.3758597736854,9014
1832,3.64794441227562,21.9455703532137,74.4064852345107,6908
1834,2.27051573143042,23.506325008109,74.2231592604606,61660
1835,2.18506258609925,26.5168333316816,71.2981040822192,403604
1836,1.11245049715463,21.5020762537948,77.3854732490506,540878
1837,1.32259360437088,23.8364936525791,74.84091274305,1244600
1838,2.68134071445581,32.977996768064,64.3406625174802,2040882
1839,3.1413292283873,32.9292897835338,63.9293809880789,1798156
1840,3.15898189665691,32.2943356515373,64.5466824518058,2098176
1841,2.47816790215524,29.5331404068285,67.9886916910162,2424412
1842,2.50364641232448,27.5822118151643,69.9141417725112,2536740
1843,2.64825663466968,26.1515386787126,71.2002046866177,2833600
1844,2.53587643398039,22.9100225741855,74.5541009918341,2251687
1845,2.57458125366639,24.8556932350605,72.5697255112731,3661644
1846,2.65382434116559,32.7477766112441,64.5983990475903,3910922
1847,2.04594223816646,30.1826324028267,67.7714253590068,4589328
1848,2.03964968613252,30.2388913360329,67.7214589778345,4703896
1849,2.13588511591383,27.4715265734715,70.3925883106147,4826430
1850,2.71969757225001,28.152823329606,69.127479098144,4915951
1851,2.53477754522207,30.8566321382883,66.6085903164897,5859528
1852,2.81139765342969,30.5330035430911,66.6555988034792,4363986
1853,3.68127171926713,35.1336489692205,61.1850793115123,4533705
1854,1.94308067670841,29.3549654185066,68.7019539047849,6199125
1855,1.78920963428626,31.5515807750531,66.6592095906606,5730575
1856,1.51674039164697,29.7989218736334,68.6843377347196,5728271
1857,2.41255939423053,30.090016793838,67.4974238119314,2854023
1858,3.46067083152074,36.7612546841795,59.7780744842998,3121678
1859,3.35286896246053,36.8067564941669,59.8403745433725,3077454
1860,2.98600656336509,36.013626100625,61.0003673360099,5422828
1861,2.464267771711,34.8458209235938,62.6899113046952,2748849
1862,1.62729075392346,26.976643522716,71.3960657233606,170959
1863,2.10983396047445,35.8998393743205,61.9903266652051,447002
1864,1.29142751342344,20.6072949453805,78.1012775411961,21604
1865,1.56313438895656,30.7232759120701,67.7135896989734,34482
1868,1.72869857471837,17.9404991597685,80.3308022655132,64268
1869,1.49126302009221,18.5468723319483,79.9618646479595,70276
1871,2.51967543163931,27.0074169622702,70.4729076060904,229474
1872,1.30469922641727,27.77970211292,70.9155986606627,17322
1873,2.12201591511936,43.7223695844386,54.1556145004421,22620
1874,1.38817543230403,26.9005723526032,71.7112522150927,328993
1875,2.07080031613815,30.1915116587871,67.7376880250748,628839
1876,2.03679789287952,30.1530475252842,67.8101545818363,78211
1877,3.89781623403379,36.3164400494438,59.7857437165225,12135
1878,4.47221230512912,33.3238129239557,62.2039747709152,42015
1880,2.00126717790741,56.3850473006926,41.6136855214,45771
1881,1.77452379475088,35.7696841844016,62.4557920208476,16117
1883,2.17082715799975,38.2754773853176,59.5536954566827,2237396
1884,1.86288595287664,33.2247223798925,64.9123916672309,12806259
1885,1.92220005436308,33.8751161321834,64.2026838134535,12445947
1886,1.50942906436337,29.7021702612092,68.7884006744274,15100809
1887,1.25590246800385,18.8962136870533,79.8478838449428,19408195
1888,1.09822422830848,22.9521494962691,75.9496262754225,14290069
1889,1.17560278639628,16.3197176689042,82.5046795446995,7552551
1890,0.8230401047219,18.2234270216043,80.9535328736739,18652068
1891,0.991444894133213,18.0255452616593,80.9830098442075,13168861
1892,1.01245366290921,18.2833507842494,80.7041955528414,4991142
1893,2.61328336277717,41.3846654987137,56.0020511385092,16734121
1894,2.41349114083196,35.7713528213539,61.8151560378142,15882304
1895,1.9350131337236,30.1643851234453,67.9006017428311,6473031
1896,2.51613846580682,38.4461496648253,59.0377118693679,30406236
1897,2.2484472543788,34.0972249961241,63.6543277494971,23632976
1898,1.91577944099741,32.5443754947736,65.539845064229,14776962
1899,1.62248128399688,25.8228447131207,72.5546740028824,16757050
1900,1.90027748379038,28.4723779194287,69.6273445967809,13947121
1901,2.0083454340475,28.9874338277352,69.0042207382173,23406332
1902,2.01057072600256,28.3934149959757,69.5960142780217,27832147
1903,2.13003827018411,26.6409319841896,71.2290297456263,6720114
1904,1.69531762510853,16.9644494816976,81.3402328931939,5446531
1905,1.14369318386592,16.3401818116291,82.516125004505,5077673
1906,1.05036391800429,15.3525480037006,83.5970880782952,6924362
1907,1.02155218023258,13.9234149095203,85.0550329102471,5698681
1908,1.06924923438823,12.2418558054723,86.6888949601395,4966943
1909,1.18204670922329,12.6994299578562,86.1185233329206,5071204
1910,1.33433858853313,12.4727435856835,86.1929178257833,5374423
1911,0.658637141786282,13.8394837873155,85.5018790708982,987190
1912,1.5747113029278,17.5784439519421,80.8468447451301,8573
1914,1.95320690370195,21.7722158316218,76.2745772646763,863247
1915,2.23599428412904,21.1003575036509,76.66364821222,955235
1916,2.77266825362476,22.28067179723,74.9466599491452,1182976
1917,1.43156858553368,22.662898203434,75.9055332110323,1206858
1918,1.9839357228088,21.7071076770141,76.3089566001771,2390148
1919,2.36608318785255,23.4633155064986,74.1706013056489,2528398
1920,3.37505863580792,29.9313360838298,66.6936052803623,2707390
1921,1.51538374480607,20.913291620184,77.5713246350099,1546275
1922,3.6366582600833,30.0666327211239,66.2967090187928,4511147
1923,3.27192053427546,29.6034661934861,67.1246132722385,5032610
1924,1.63757829941313,20.9732881572561,77.3891335433308,4281322
1925,3.78471478246735,32.9915449308206,63.223740286712,5955244
1926,4.8791087282649,34.8495023315589,60.2713889401762,7701714
1927,3.95201218033947,32.0176830315327,64.0303047881279,8653946
